in: U-value (wall),in: Fin Depth,in: Distance btw fins,in: Shading type,in: Orientation,in: Orientation angle,in: g-value,in: Transmittance,in: U-value (window),in: Glazing ratio,in: Window height,in: Sill height,out: Cooling (kWh/m2.year),out: Heating (kWh/m2.year),out: Lighting (kWh/m2.year),out: Total (kWh/m2.year),out: Dissatisfied (% users),out: Cooling Load (W/m2),out: Heating Load (W/m2)
0.25,0.45,0.75,Vertical,SE,135,0.4,0.7,1.6,0.8,3,1,6.503629,30.29224,3.8759,80.615343,27.049791,108.152563,29.982392
0.25,0.15,0.75,Vertical,SE,135,0.4,0.7,1.6,0.6,1.5,0,7.652318,36.019196,5.52945,90.057546,29.786818,126.023098,36.220623
0.25,0.15,0.75,Vertical,SE,135,0.4,0.7,1.6,0.8,1.5,0,8.803237,27.850792,3.76185,81.773681,30.555014,132.245162,30.845387
0.25,0.3,0.75,Vertical,SE,135,0.4,0.7,1.6,0.4,1.5,0,6.467168,45.225367,10.54645,102.530156,28.878211,115.51916,41.164894
0.25,0.3,0.75,Vertical,SE,135,0.4,0.7,1.6,0.6,1.5,0,6.966028,36.790632,6.322,90.496525,28.776711,116.333656,36.059582
0.25,0.3,0.75,Vertical,SE,135,0.4,0.7,1.6,0.8,1.5,0,7.896893,28.982905,3.99105,81.675616,29.019168,123.592345,30.625502
0.25,0.45,0.75,Vertical,SE,135,0.4,0.7,1.6,0.4,1.5,0,6.014396,45.938189,10.2937,102.273996,28.571028,110.873449,41.045079
0.25,0.45,0.75,Vertical,SE,135,0.4,0.7,1.6,0.6,1.5,0,6.537794,37.428624,6.36205,90.494384,28.179243,113.975138,35.934471
0.25,0.45,0.75,Vertical,SE,135,0.4,0.7,1.6,0.8,1.5,0,7.035387,29.745885,4.0511,81.054767,27.747558,112.581031,30.451781
0.25,0.15,0.75,Vertical,SE,135,0.32,0.6,1.6,0.4,1.5,0,6.295409,45.72658,11.02895,103.178837,28.763605,112.109354,41.336353
0.25,0.15,0.75,Vertical,SE,135,0.32,0.6,1.6,0.6,1.5,0,6.515005,37.512011,6.08595,90.156666,28.371842,110.086437,36.220623
0.25,0.15,0.75,Vertical,SE,135,0.32,0.6,1.6,0.8,1.5,0,7.150936,29.688849,3.87535,80.950513,28.182051,112.166471,30.845387
0.25,0.3,0.75,Vertical,SE,135,0.32,0.6,1.6,0.4,1.5,0,5.829384,46.50511,10.5723,102.763431,28.465247,107.154285,41.164894
0.25,0.3,0.75,Vertical,SE,135,0.32,0.6,1.6,0.6,1.5,0,6.095934,38.415284,6.4497,90.809194,27.753923,107.531577,36.059582
0.25,0.3,0.75,Vertical,SE,135,0.32,0.6,1.6,0.8,1.5,0,6.442081,30.666545,3.98875,80.881563,27.099945,103.876871,30.625502
0.25,0.45,0.75,Vertical,SE,135,0.32,0.6,1.6,0.4,1.5,0,5.645584,46.9249,11.6411,103.919752,28.241908,103.5985,41.045079
0.25,0.45,0.75,Vertical,SE,135,0.32,0.6,1.6,0.6,1.5,0,5.717679,38.931597,6.7823,91.013939,27.375899,101.856415,35.934471
0.25,0.45,0.75,Vertical,SE,135,0.32,0.6,1.6,0.8,1.5,0,5.857082,31.397775,4.3338,81.00229,26.298105,96.682469,30.451781
0.25,0.15,0.75,Vertical,SE,135,0.25,0.5,1.6,0.4,1.5,0,6.025115,46.460265,12.0118,104.441131,28.554881,107.813149,41.336353
0.25,0.15,0.75,Vertical,SE,135,0.25,0.5,1.6,0.6,1.5,0,6.115408,38.591267,7.01855,91.588414,27.852821,107.41438,36.220623
0.25,0.15,0.75,Vertical,SE,135,0.25,0.5,1.6,0.8,1.5,0,6.421845,31.052787,4.452,81.735376,27.186785,103.202062,30.845387
0.25,0.3,0.75,Vertical,SE,135,0.25,0.5,1.6,0.4,1.5,0,5.640218,47.194262,11.7974,104.325642,28.338324,103.366649,41.164894
0.25,0.3,0.75,Vertical,SE,135,0.25,0.5,1.6,0.6,1.5,0,5.638852,39.379143,7.5074,91.996788,27.38735,97.685278,36.059582
0.25,0.3,0.75,Vertical,SE,135,0.25,0.5,1.6,0.8,1.5,0,5.772928,31.857257,4.584,81.629287,26.367877,96.014794,30.625502
0.25,0.45,0.75,Vertical,SE,135,0.25,0.5,1.6,0.4,1.5,0,5.445036,47.623742,12.32055,104.959229,28.201133,100.246751,41.045079
